IP; Port; Location; MS; Proxy type; Safety
18.185.60.249; 80; Germany Frankfurt am Main; 4180 ms; HTTP; Alta
110.74.195.64; 32744; Cambodia; 1180 ms; SOCKS4; Alta
46.4.96.137; 8080; Germany; 200 ms; HTTP; Alta
176.9.119.170; 3128; Germany; 220 ms; HTTP; Alta
103.152.5.80; 8080; Indonesia; 4900 ms; HTTP, HTTPS; Media
202.62.95.101; 8080; India Bengaluru; 3220 ms; HTTP; no
91.89.89.2; 8080; Germany Ludwigsburg; 1680 ms; HTTP; Alta
122.155.165.191; 3128; Thailand; 1460 ms; HTTP; no
195.46.124.94; 4444; Russian Federation Irkutsk; 3920 ms; HTTP; no
176.56.107.237; 56667; Spain La Puebla de los Infantes; 4740 ms; HTTP; Alta
1.179.148.9; 55636; Thailand Bangkok; 4060 ms; HTTP; Alta
103.124.137.86; 8080; Indonesia Klaten; 5100 ms; HTTP; no
54.156.164.61; 80; United States Ashburn; 540 ms; HTTP; Alta
128.199.202.122; 8080; Singapore; 840 ms; HTTP; Alta
202.69.45.22; 8080; Pakistan Karachi; 5100 ms; HTTP; Alta
86.62.120.68; 3128; Russian Federation Moscow; 3540 ms; HTTP; no
5.189.171.179; 80; Germany Nuremberg; 2820 ms; HTTP; Alta
46.223.255.3; 8080; Germany Aalen; 3820 ms; HTTP; Alta
159.203.44.177; 3128; Canada Toronto; 580 ms; HTTP, HTTPS; no
139.59.1.14; 3128; India Bengaluru; 1500 ms; HTTP; Alta
95.141.36.112; 8686; Italy Reggio Emilia; 660 ms; HTTP; no
95.208.208.231; 8080; Germany Konstanz; 4600 ms; HTTP; Alta
46.4.96.137; 3128; Germany; 220 ms; HTTP; Alta
172.67.182.45; 80; United States; 120 ms; HTTP; no
172.67.181.79; 80; United States; 140 ms; HTTP; no
172.67.182.94; 80; United States; 140 ms; HTTP; no
5.252.161.48; 3128; United Kingdom; 340 ms; HTTP; Alta
172.67.182.8; 80; United States; 120 ms; HTTP; no
199.60.103.228; 80; United States; 80 ms; HTTP; no
141.101.113.2; 80; ; 80 ms; HTTP; no
167.71.5.83; 3128; Netherlands Amsterdam; 260 ms; HTTP; Alta
172.67.162.127; 80; United States; 240 ms; HTTP; no
172.67.182.60; 80; United States; 160 ms; HTTP; no
172.67.181.116; 80; United States; 140 ms; HTTP; no
172.67.181.170; 80; United States; 140 ms; HTTP; no
46.4.96.137; 8080; Germany; 200 ms; HTTP; Alta
190.93.247.25; 80; ; 60 ms; HTTP; no
172.67.187.199; 80; United States; 140 ms; HTTP; no
51.158.119.88; 8811; France Paris; 520 ms; HTTP; Bajo
172.67.181.112; 80; United States; 160 ms; HTTP; no
172.67.181.144; 80; United States; 120 ms; HTTP; no
172.67.181.128; 80; United States; 140 ms; HTTP; no
199.60.103.28; 80; United States; 80 ms; HTTP; no
172.67.182.152; 80; United States; 120 ms; HTTP; no
172.67.182.14; 80; United States; 140 ms; HTTP; no
172.67.181.7; 80; United States; 160 ms; HTTP; no
172.67.181.121; 80; United States; 140 ms; HTTP; no
172.67.182.155; 80; United States; 120 ms; HTTP; no
172.67.182.79; 80; United States; 140 ms; HTTP; no
141.101.115.26; 80; ; 80 ms; HTTP; no
172.67.181.25; 80; United States; 140 ms; HTTP; no
172.67.182.158; 80; United States; 160 ms; HTTP; no
172.67.181.143; 80; United States; 140 ms; HTTP; no
172.67.182.139; 80; United States; 100 ms; HTTP; no
172.67.181.12; 80; United States; 160 ms; HTTP; no
172.67.181.45; 80; United States; 120 ms; HTTP; no
172.67.181.57; 80; United States; 140 ms; HTTP; no
172.67.161.180; 80; United States; 260 ms; HTTP; no
172.67.181.74; 80; United States; 140 ms; HTTP; no
172.67.182.120; 80; United States; 100 ms; HTTP; no
172.67.181.60; 80; United States; 140 ms; HTTP; no
172.67.181.180; 80; United States; 160 ms; HTTP; no
172.67.181.98; 80; United States; 140 ms; HTTP; no
172.67.182.77; 80; United States; 160 ms; HTTP; no
