IP; Port; Location; MS; Proxy type; Safety
194.228.129.189; 56211; Czech Republic Děčín; 760 ms; SOCKS4; Alta
203.223.44.102; 53945; Cambodia; 1200 ms; SOCKS4; Alta
177.74.143.97; 4145; Brazil São Leopoldo; 1300 ms; SOCKS4; Alta
109.193.195.13; 8080; Germany Stuttgart; 2320 ms; HTTP; Alta
66.135.227.178; 4145; United States Honolulu; 2600 ms; SOCKS4, SOCKS5; Alta
93.117.72.27; 55770; Moldova; 320 ms; SOCKS4; Alta
83.211.162.198; 4145; Italy Rome; 320 ms; SOCKS4; Alta
170.0.203.5; 1080; Brazil Fortaleza; 2180 ms; SOCKS4; Alta
154.16.202.22; 1080; Germany Frankfurt am Main; 480 ms; SOCKS5; Alta
192.141.208.1; 4153; Argentina Salsipuedes; 1460 ms; SOCKS4; Alta
45.112.1.161; 4145; India Pune; 860 ms; SOCKS4; Alta
116.117.134.134; 81; China; 860 ms; HTTP; no
117.197.118.141; 5678; India Bhopal; 1100 ms; SOCKS4; Alta
77.108.78.18; 48079; Russian Federation Moscow; 1080 ms; SOCKS4; Alta
102.67.74.1; 1080; South Africa; 1100 ms; SOCKS4; Alta
103.146.110.22; 50860; India; 900 ms; SOCKS4; Alta
203.77.237.62; 4153; Indonesia Tangerang; 2140 ms; SOCKS4; Alta
89.107.197.118; 53281; Russian Federation Tula; 5100 ms; HTTP; Alta
210.212.68.213; 34115; India Dehradun; 940 ms; SOCKS4; Alta
103.54.28.43; 4153; India Rewari; 4180 ms; SOCKS4; Alta
203.80.190.242; 8291; Bangladesh; 1260 ms; SOCKS4; Alta
50.237.206.138; 64312; United States; 740 ms; SOCKS4; Alta
94.232.11.178; 58028; Russian Federation Elektrostal; 200 ms; SOCKS4; Alta
174.77.111.197; 4145; United States; 1060 ms; SOCKS4; Alta
180.211.97.204; 42728; India Ahmedabad; 1140 ms; SOCKS4; Alta
103.152.5.80; 8080; Indonesia; 4660 ms; HTTP, HTTPS; Media
37.120.239.151; 3128; Netherlands Amsterdam; 300 ms; HTTP; Alta
83.170.200.34; 4145; Ukraine Kyiv; 1640 ms; SOCKS4; Alta
159.192.98.88; 8080; Thailand Ratchaburi; 5100 ms; HTTP; no
101.255.117.2; 51122; Indonesia Jakarta; 1100 ms; SOCKS4; Alta
161.202.226.194; 8123; Japan Tokyo; 1100 ms; HTTP, HTTPS; Alta
158.51.201.249; 8080; United States Piedmont; 4000 ms; HTTP; no
79.164.171.32; 50059; Russian Federation Lyubertsy; 1200 ms; SOCKS4; Alta
46.5.252.58; 1080; Germany Pforzheim; 3580 ms; SOCKS5; Alta
45.145.32.226; 4153; Lithuania Utena; 180 ms; SOCKS4; Alta
67.43.224.136; 3128; Canada; 540 ms; HTTP; Alta
103.115.252.26; 51372; Bangladesh Dhaka; 2260 ms; SOCKS4; Alta
195.81.66.65; 4145; Italy Martina Franca; 440 ms; SOCKS4; Alta
110.38.186.8; 8080; Pakistan Karachi; 5100 ms; HTTP; no
103.111.219.245; 4145; Indonesia; 1240 ms; SOCKS4; Alta
159.65.154.238; 80; India Bengaluru; 4380 ms; HTTP; Alta
191.97.19.25; 999; Venezuela Caracas; 5100 ms; HTTP; no
181.113.66.146; 42046; Ecuador Quito; 1140 ms; SOCKS4; Alta
128.0.179.234; 41258; Czech Republic Opava; 2100 ms; HTTP; Alta
103.94.2.110; 4145; Indonesia Batang; 2120 ms; SOCKS4; Alta
103.106.28.78; 55664; India Samastipur; 4080 ms; SOCKS4; Alta
45.169.98.242; 4153; ; 1060 ms; SOCKS4; Alta
31.182.12.3; 34715; Poland Lodz; 320 ms; SOCKS4; Alta
177.73.248.26; 55290; Brazil Cotia; 1240 ms; SOCKS4; Alta
170.0.203.6; 1080; Brazil Fortaleza; 1200 ms; SOCKS4; Alta
176.9.119.170; 3128; Germany; 240 ms; HTTP; Alta
142.47.96.16; 80; Canada; 1860 ms; SOCKS5; Alta
185.236.202.205; 3128; Austria Vienna; 260 ms; HTTP; Alta
89.231.32.193; 4145; Poland; 460 ms; SOCKS4; Alta
198.199.86.11; 3128; United States North Bergen; 2160 ms; HTTP; Alta
193.56.255.179; 3128; Singapore Singapore; 920 ms; HTTP; Alta
80.80.164.164; 10801; Albania; 520 ms; SOCKS4; Alta
150.129.171.35; 41889; India Nadiad; 940 ms; SOCKS4; Alta
80.94.118.192; 4145; Italy Castelseprio; 1440 ms; SOCKS4; Alta
196.3.99.197; 4145; Mozambique Maputo; 1180 ms; SOCKS4; Alta
81.18.34.98; 47680; Kazakstan; 1520 ms; SOCKS4; Alta
182.92.243.144; 80; China; 820 ms; HTTP; Alta
195.211.30.115; 35867; Russian Federation Yekaterinburg; 5100 ms; HTTP; Alta
95.0.219.251; 1080; Turkey Istanbul; 580 ms; SOCKS4; Alta
